File_name	Strain
Nostoc_sp_PCC_7107	Nostoc sp. PCC 7107
Nostoc_sp_PCC_7120	Nostoc sp. PCC 7120
Nostoc_sp_PCC_7120_FACHB_418	Nostoc sp. PCC 7120 v2
Nostoc_sp_PCC_7524	Nostoc sp. PCC 7524
Nostoc_sp_Peltigera_malacea_cyanobiont_DB3992	Nostoc sp. DB3992
Nostoc_sp_Peltigera_membranacea_cyanobiont_210A	Nostoc sp. cyanobiont of Peltigera membranacea 210A
Nostoc_sp_Peltigera_membranacea_cyanobiont_213	Nostoc sp. cyanobiont of Peltigera membranacea 213
Nostoc_sp_Peltigera_membranacea_cyanobiont_232	Nostoc sp. cyanobiont of Peltigera membranacea 232
Nostoc_sp_Peltigera_membranacea_cyanobiont_N6	Nostoc sp. cyanobiont of Peltigera membranacea N6
Nostoc_sp_RF31YmG	Nostoc sp. RF31YmG
Nostoc_sp_T09	Nostoc sp. T09
Nostoc_sp_UIC_10630	Nostoc sp. UIC 10630
Nostoc_sphaeroides_CCNUC1	Nostoc sphaeroides CCNUC1
Nostoc_sphaeroides_Kutzing	Nostoc sphaeroides Kutzing En
Nostocales_cyanobacterium_HT_58_2	Nostocales cyanobacterium HT-58-2
Peltula.bin.10	Cyanobiont of Peltula cylindrica 
Raphidiopsis_brookii_D9	Raphidiopsis brookii D9
Raphidiopsis_curvata_NIES_932	Raphidiopsis curvata NIES-932
rhizonema_bin.1	Cyanobiont of Dictyonema sp. 
Richelia_intracellularis_HH01	Richelia intracellularis HH01
Richelia_intracellularis_HM01	Richelia intracellularis HM01
Richelia_intracellularis_UBA3481	Richelia intracellularis UBA3481
Richelia_intracellularis_UBA7409	Richelia intracellularis UBA7409
Rivularia_sp_PCC_7116	Rivularia sp. PCC 7116
S13bin.3	Nostoc sp. cyanobiont of Kroswia sp. 
S4bin.4	Nostoc sp. cyanobiont of Lepidocollema sp.  
Scytonema_hofmannii_PCC_7110	Scytonema hoffmanni PCC 7110
Scytonema_millei_VB511283	Scytonema millei VB511283
Scytonema_sp_HK_05_v2	Scytonema sp. NIES 2130 (HK-05) v2
Scytonema_sp_NIES_4073	Scytonema sp. NIES-4073
Scytonema_sp_UIC_10036	Scytonema sp. UIC 10036
Scytonema_sp._HK_05_NIES_2130	Scytonema sp. NIES 2130 (HK-05)
Scytonema_tolypothrichoides_VB_61278	Scytonema tolypothrichoides VB-61278
Sphaerospermopsis_kisseleviana_NIES_73	Sphaerospermopsis kisseleviana NIES-73
Sphaerospermopsis_reniformis_strain_NIES_1949	Sphaeropermopsis reniformis NIES-1949
Synechocystis_sp_PCC_7509	Synechocystis sp. PCC 7509
Tolypothrix_bouteillei_VB521301	Tolypothrix bouteillei VB521301
Tolypothrix_campylonemoides_VB511288	Tolypothrix campylonemoides VB511288
Tolypothrix_Scytonema_hofmanni_UTEX_2349_PCC_9009	Scytonema hoffmanni UTEX 2349 PCC 9009
Tolypothrix_sp_NIES_4075	Tolypothrix sp. NIES-4075
Tolypothrix_sp_PCC_7601	Tolypothrix sp. PCC 7601
Tolypothrix_sp_PCC_7910	Tolypothirx sp. PCC 7910
Tolypothrix_tenuis_PCC_7101	Tolypothrix tenuis PCC 7101
Trichormus_sp_NMC_1	Trichormus sp. NMC-1
Trichormus_variabilis_0441	Trichormus variabilis 0441
Trichormus_variabilis_ATCC_29413	Trichormus variabilis ATCC 29413
Trichormus_variabilis_PCC_6309	Trichormus variabilis PCC 6309 (SAG 1403-4b)
Westiellopsis_prolifica_IICB1	Wetiellopsis prolifica IICB1
